name,type,episodes,members,score_members,rating,genre,dates,Description,Image-SRC,english_name,url
Gintama.,TV,12.0,246747.0,110051.0,8.98,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Jan 2017 - Mar 2017,"[""After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.\n\r\nHitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/3/83528.jpg,Gintama Season 5,https://myanimelist.net/anime/34096/Gintama
3-gatsu no Lion 2nd Season,TV,22.0,324991.0,156965.0,8.97,"['Drama', 'SliceofLife', 'Game', 'Seinen']",        Oct 2017 - Mar 2018,"['Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. \n\r\nNonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/3/88469.jpg,March Comes In Like A Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
Koe no Katachi,Movie,1.0,1799350.0,1239283.0,8.97,"['Drama', 'School', 'Shounen']",        Sep 2016 - Sep 2016,"[""As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.\n\r\nNow in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.\n\nKoe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1122/96435.jpg,A Silent Voice,https://myanimelist.net/anime/28851/Koe_no_Katachi
Violet Evergarden Movie,Movie,1.0,342773.0,104401.0,8.97,"['Drama', 'Fantasy', 'SliceofLife']",        Sep 2020 - Sep 2020,"['Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.\n\nViolet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1825/110716.jpg,,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
Clannad: After Story,TV,24.0,1030512.0,572589.0,8.95,"['Comedy', 'Drama', 'Romance', 'SliceofLife', 'Supernatural']",        Oct 2008 - Mar 2009,"[""Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.\n\r\nTime also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.\n\r\nBased on the visual novel by Key and produced by Kyoto Animation, Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1299/110774.jpg,Clannad ~After Story~,https://myanimelist.net/anime/4181/Clannad__After_Story
Gintama,TV,201.0,892074.0,266792.0,8.95,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Apr 2006 - Mar 2010,"['The Amanto, aliens from outer space, have invaded Earth and taken over feudal Japan. As a result, a prohibition on swords has been established, and the samurai of Japan are treated with disregard as a consequence.\n\r\nHowever one man, Gintoki Sakata, still possesses the heart of the samurai, although from his love of sweets and work as a yorozuya, one might not expect it. Accompanying him in his jack-of-all-trades line of work are Shinpachi Shimura, a boy with glasses and a strong heart, Kagura with her umbrella and seemingly bottomless stomach, as well as Sadaharu, their oversized pet dog. Of course, these odd jobs are not always simple, as they frequently have run-ins with the police, ragtag rebels, and assassins, oftentimes leading to humorous but unfortunate consequences.\n\r\nWho said life as an errand boy was easy?\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/10/73274.jpg,,https://myanimelist.net/anime/918/Gintama
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1.0,197426.0,111621.0,8.94,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Jul 2013 - Jul 2013,"['When Gintoki apprehends a movie pirate at a premiere, he checks the camera\'s footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world\'s population. It turns out that the movie pirate wasn\'t a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.\n\r\nSetting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn\'t have to fight alone.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/10/51723.jpg,,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
Code Geass: Hangyaku no Lelouch R2,TV,25.0,1477784.0,991039.0,8.91,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'SuperPower']",        Apr 2008 - Sep 2008,"[""One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt. \n\r\nLelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/4/9391.jpg,Code Geass: Lelouch of the Rebellion R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Owarimonogatari 2nd Season,TV,7.0,323843.0,152042.0,8.91,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",        Aug 2017 - Aug 2017,"['Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.  \n\r\nAraragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/6/87322.jpg,Owarimonogatari Second Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
Shingeki no Kyojin: The Final Season,TV,16.0,1352197.0,812495.0,8.9,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'SuperPower', 'Shounen']",        Dec 2020 - Mar 2021,"[""Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.\n\r\nHaving finally reached the Yeager family basement and learned about the dark history surrounding the titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.\n\r\nIn Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1000/110531.jpg,Attack on Titan: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
Kimi no Na wa.,Movie,1.0,2165852.0,1498465.0,8.89,"['Drama', 'Romance', 'Supernatural', 'School']",        Aug 2016 - Aug 2016,"[""Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.\n\r\nOne day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.\n\nKimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/5/87048.jpg,Your Name.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14.0,147212.0,68380.0,8.88,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Jul 2018 - Oct 2018,['Second Season of the final arc of Gintama.'],https://cdn.myanimelist.net/images/anime/1776/96566.jpg,Gintama.: Silver Soul Arc - Second Half War,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
Ousama Ranking,TV,23.0,117320.0,25410.0,8.84,"['Adventure', 'Fantasy']",        Oct 2021 - ,"['The people of the kingdom look down on the young Prince Bojji, who can neither hear nor speak. They call him ""The Useless Prince"" while jeering at his supposed foolishness.\n\r\nHowever, while Bojji may not be physically strong, he is certainly not weak of heart. When a chance encounter with a shadow creature should have left him traumatized, it instead makes him believe that he has found a friend amidst those who only choose to notice his shortcomings. He starts meeting with Kage, the shadow, regularly, to the point where even the otherwise abrasive creature begins to warm up to him.\n\r\nKage and Bojji\'s unlikely friendship lays the budding foundations of the prince\'s journey, one where he intends to conquer his fears and insecurities. Despite the constant ridicule he faces, Bojji resolves to fulfill his desire of becoming the best king he can be.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1347/117616.jpg,Ranking of Kings,https://myanimelist.net/anime/40834/Ousama_Ranking
Shiguang Dailiren,ONA,11.0,134152.0,36739.0,8.84,"['Drama', 'Supernatural']",        Apr 2021 - Jul 2021,"['It is said that a picture is worth a thousand words. In this case, it holds an infinite amount of secrets. These are secrets that only Cheng Xiaoshi and Lu Guang are able to find. In a small shop called ""Time Photo Studio,"" the two friends provide a special service: using their extraordinary powers that let them enter photographs, they jump into pictures brought to them by clients in order to grant their wishes. Through the eyes of the photographer, they live through the events surrounding the picture and try to decipher how to solve their client\'s request.\n\r\nBut every time they jump into a picture, they take a great risk. One wrong move and they could alter the future of the person who took the picture... and possibly countless other events too. So when the events they are forced to live through in these pictures start to become personal, it will take the utmost strength to push their feelings aside and focus on accomplishing the task they were paid to do.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1135/114867.jpg,Link Click,https://myanimelist.net/anime/44074/Shiguang_Dailiren
Mob Psycho 100 II,TV,13.0,1104869.0,675966.0,8.82,"['Action', 'Comedy', 'SliceofLife', 'Supernatural']",        Jan 2019 - Apr 2019,"['Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.\n\r\nWhile the workflow remains the same, Mob isn\'t just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob\'s supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1918/96303.jpg,,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
Gintama.: Shirogane no Tamashii-hen,TV,12.0,160452.0,75442.0,8.82,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Jan 2018 - Mar 2018,"[""After the fierce battle on Rakuyou, the untold past and true goal of the immortal Naraku leader, Utsuro, are finally revealed. By corrupting the Altana reserves of several planets, Utsuro has successfully triggered the intervention of the Tendoshuu’s greatest enemy: the Altana Liberation Army. With Earth as the main battleground in this interplanetary war, Utsuro's master plan to destroy the planet—and himself—is nearly complete. \n\r\nAn attack on the O-Edo Central Terminal marks the beginning of the final battle to take back the land of the samurai. With the Yorozuya nowhere in sight, the bakufu all but collapsed, and the Shogun missing, the people are left completely helpless as the Liberation Army begins pillaging Edo in the name of freeing them from the Tendoshuu's rule. \n\r\nCaught in the crossfire between two equally imposing forces, can Gintoki, Kagura, Shinpachi, and the former students of Shouyou Yoshida put aside their differences and unite their allies to protect what they hold dear?\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/12/89603.jpg,Gintama.: Silver Soul Arc,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10.0,942853.0,620595.0,8.81,"['Comedy', 'Drama', 'Sports', 'School', 'Shounen']",        Oct 2016 - Dec 2016,"['After the victory against Aoba Jousai High, Karasuno High School, once called “a fallen powerhouse, a crow that can’t fly,” has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the country’s top three aces.\n\r\nOnly the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season of Haikyuu!!.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/7/81992.jpg,Haikyu!! 3rd Season,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
Kizumonogatari III: Reiketsu-hen,Movie,1.0,371721.0,212286.0,8.81,"['Action', 'Mystery', 'Supernatural', 'Vampire']",        Jan 2017 - Jan 2017,"['After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. \n\r\nAraragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.\n\r\nBut there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?\n\r\nAraragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1084/112813.jpg,,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
